fic,gsubind,datadate,gvkey,curcdm,Share_End,Isin
CHE,35202010,2024-12-31,101310,CHF,88.7,CH0012005267
CHE,35202010,2024-12-31,101310,CHF,88.7,CH0012005267
CHE,35202010,2024-12-31,101310,CHF,88.7,CH0012005267
CHE,35202010,2024-12-31,101310,CHF,88.47,CH0038459415
CHE,35202010,2024-12-31,101310,CHF,88.47,CH0038459415
CHE,35202010,2024-12-31,101310,CHF,88.47,CH0038459415
CHE,35202010,2024-12-31,101310,CHF,88.47,CH0038459415
CHE,35202010,2024-12-31,101310,CHF,88.47,CH0038459415
CHE,35202010,2024-12-31,101310,CHF,88.47,CH0038459415
CHE,35202010,2024-12-31,101310,CHF,88.47,CH0038459415
CHE,35202010,2024-12-31,101310,CHF,88.47,CH0038459415
GBR,45103010,2024-12-31,101374,GBP,0.1,GB0001482891
GBR,45103010,2024-12-31,101374,GBP,0.1,GB0001482891
JPN,45203010,2024-12-31,101452,JPY,5636,JP3735000006
BEL,35202010,2024-12-31,101483,EUR,142.2,BE0003823409
BEL,35202010,2024-12-31,101483,EUR,142.2,BE0003823409
BEL,35202010,2024-12-31,101483,EUR,142.2,BE0003823409
BEL,35202010,2024-12-31,101483,EUR,142.2,BE0003823409
BEL,35202010,2024-12-31,101483,EUR,142.2,BE0003823409
BEL,35202010,2024-12-31,101483,EUR,0.272,BE0099967573
BEL,35202010,2024-12-31,101483,EUR,0.272,BE0099967573
BEL,35202010,2024-12-31,101483,EUR,0.272,BE0099967573
BEL,35202010,2024-12-31,101483,EUR,0.272,BE0099967573
BEL,35202010,2024-12-31,101483,EUR,0.272,BE0099967573
SGP,45203030,2024-12-31,101555,SGD,0.045,SG1BB6000006
GBR,45203030,2024-12-31,101625,GBP,0.285,GB00B2Q99X01
GBR,45203030,2024-12-31,101625,GBP,0.285,GB00B2Q99X01
JPN,45203015,2024-12-31,101651,JPY,18740,JP3799000009
JPN,45203015,2024-12-31,101754,JPY,3371,JP3733400000
FIN,45102010,2024-12-31,101828,EUR,17.02,FI0009000277
FIN,45102010,2024-12-31,101828,EUR,17.02,FI0009000277
FIN,45102010,2024-12-31,101828,EUR,17.02,FI0009000277
FIN,45102010,2024-12-31,101828,EUR,17.02,FI0009000277
FIN,45102010,2024-12-31,101828,EUR,17.02,FI0009000277
FIN,45102010,2024-12-31,101828,EUR,17.02,FI0009000277
FIN,45102010,2024-12-31,101828,EUR,17.02,FI0009000277
JPN,45203015,2024-12-31,101869,JPY,2979,JP3705600009
JPN,45203015,2024-12-31,101869,JPY,2979,JP3705600009
CHE,35203010,2024-12-31,101870,CHF,986,CH1429326825
CHE,35203010,2024-12-31,101870,CHF,986,CH1429326825
CHE,35203010,2024-12-31,101870,CHF,986,CH1429326825
CHE,35203010,2024-12-31,101870,CHF,986,CH1429326825
JPN,45203010,2024-12-31,101890,JPY,930,JP3716000009
JPN,45203010,2024-12-31,101891,JPY,4461,JP3357200009
JPN,45203010,2024-12-31,101891,JPY,4461,JP3357200009
BEL,45203010,2024-12-31,101922,EUR,10.48,BE0974362940
BEL,45203010,2024-12-31,101922,EUR,10.48,BE0974362940
BEL,45203010,2024-12-31,101922,EUR,10.48,BE0974362940
BEL,45203010,2024-12-31,101922,EUR,10.48,BE0974362940
ZAF,35202010,2024-12-31,101933,ZAR,67,ZAE000123436
ZAF,35202010,2024-12-31,101933,ZAR,67,ZAE000123436
FRA,45102010,2024-12-31,101944,EUR,158.15,FR0000125338
FRA,45102010,2024-12-31,101944,EUR,158.15,FR0000125338
FRA,45102010,2024-12-31,101944,EUR,158.15,FR0000125338
FRA,45102010,2024-12-31,101944,EUR,158.15,FR0000125338
FRA,45102010,2024-12-31,101944,EUR,158.15,FR0000125338
FRA,45102010,2024-12-31,101944,EUR,158.15,FR0000125338
FRA,45102010,2024-12-31,101944,EUR,158.15,FR0000125338
JPN,45203010,2024-12-31,101967,JPY,656,JP3132000005
JPN,35202010,2024-12-31,101975,JPY,4513,JP3207000005
JPN,35202010,2024-12-31,102025,JPY,563,JP3495000006
ESP,45201020,2024-12-31,102042,EUR,0.1146,ES0109260531
GBR,45203010,2024-12-31,102121,GBP,3.52,GB0007156838
GBR,45203010,2024-12-31,102121,GBP,3.52,GB0007156838
JPN,45203010,2024-12-31,102141,JPY,1227.5,JP3937200008
JPN,45203015,2024-12-31,102142,JPY,1872,JP3791800000
JPN,35202010,2024-12-31,102156,JPY,4708,JP3535800001
JPN,35202010,2024-12-31,102156,JPY,4708,JP3535800001
CHE,35103010,2024-12-31,102171,CHF,4.16,CH0011339204
CHE,35103010,2024-12-31,102171,CHF,4.16,CH0011339204
CHE,35103010,2024-12-31,102171,CHF,4.16,CH0011339204
JPN,45203015,2024-12-31,102248,JPY,974,JP3701200002
JPN,45203015,2024-12-31,102248,JPY,974,JP3701200002
JPN,45203010,2024-12-31,102288,JPY,1410,JP3128800004
JPN,45203010,2024-12-31,102322,JPY,544,JP3248800009
JPN,45203010,2024-12-31,102322,JPY,544,JP3248800009
JPN,45203015,2024-12-31,102328,JPY,2394,JP3243200007
JPN,45301020,2024-12-31,102340,JPY,5803,JP3329600005
JPN,45203015,2024-12-31,102359,JPY,1097,JP3661800007
JPN,45203015,2024-12-31,102359,JPY,1097,JP3661800007
JPN,45202030,2024-12-31,102385,JPY,3610,JP3594000006
ITA,35202010,2024-12-31,102429,EUR,50.6,IT0003828271
ITA,35202010,2024-12-31,102429,EUR,50.6,IT0003828271
ITA,35202010,2024-12-31,102429,EUR,50.6,IT0003828271
ITA,35202010,2024-12-31,102429,EUR,50.6,IT0003828271
ITA,35202010,2024-12-31,102429,EUR,50.6,IT0003828271
ZAF,45102010,2024-12-31,102448,ZAR,5.6,ZAE000256319
ZAF,45102010,2024-12-31,102448,ZAR,5.6,ZAE000256319
ZAF,45102010,2024-12-31,102544,ZAR,21.25,ZAE000191342
ZAF,45102010,2024-12-31,102544,ZAR,21.25,ZAE000191342
ZAF,45102010,2024-12-31,102544,ZAR,21.25,ZAE000191342
GBR,45203010,2024-12-31,102569,GBP,25.08,GB0003308607
GBR,45203010,2024-12-31,102569,GBP,25.08,GB0003308607
JPN,45203015,2024-12-31,102620,JPY,4775,JP3148800000
JPN,45102010,2024-12-31,102625,JPY,4765,JP3754200008
GBR,45203015,2024-12-31,102638,GBP,1.06,GB0008711763
CHE,45202030,2024-12-31,102696,CHF,75.04,CH0025751329
CHE,45202030,2024-12-31,102696,CHF,75.04,CH0025751329
CHE,45202030,2024-12-31,102696,CHF,75.04,CH0025751329
CHE,45202030,2024-12-31,102696,CHF,75.04,CH0025751329
CHE,45202030,2024-12-31,102696,CHF,75.04,CH0025751329
CHE,45202030,2024-12-31,102696,CHF,75.04,CH0025751329
CHE,45202030,2024-12-31,102696,CHF,74.72,CH1282125983
CHE,45202030,2024-12-31,102696,CHF,74.72,CH1282125983
CHE,45202030,2024-12-31,102696,CHF,74.72,CH1282125983
CHE,45202030,2024-12-31,102696,CHF,74.72,CH1282125983
CHE,45202030,2024-12-31,102696,CHF,74.72,CH1282125983
CHE,45202030,2024-12-31,102696,CHF,74.72,CH1282125983
JPN,45203015,2024-12-31,102746,JPY,432,JP3712000003
JPN,35202010,2024-12-31,102839,JPY,3989,JP3717600005
JPN,45301010,2024-12-31,102841,JPY,7357,JP3580200008
JPN,45301020,2024-12-31,103053,JPY,1485.5,JP3982800009
SWE,45203010,2024-12-31,103065,SEK,105.6,SE0015961909
SWE,45203010,2024-12-31,103065,SEK,105.6,SE0015961909
SWE,45203010,2024-12-31,103065,SEK,105.6,SE0015961909
SWE,45203010,2024-12-31,103065,SEK,105.6,SE0015961909
SWE,45203010,2024-12-31,103065,SEK,105.6,SE0015961909
JPN,45203030,2024-12-31,103076,JPY,2299,JP3247200003
JPN,45203010,2024-12-31,103228,JPY,64630,JP3236200006
JPN,45203010,2024-12-31,103228,JPY,64630,JP3236200006
FRA,45202030,2024-12-31,103277,EUR,10900,FR0000076952
FRA,45202030,2024-12-31,103277,EUR,10900,FR0000076952
CHE,45203030,2024-12-31,103384,CHF,224,CH0024590272
CHE,45203030,2024-12-31,103384,CHF,224,CH0024590272
DEU,45103010,2024-12-31,103487,EUR,236.3,DE0007164600
DEU,45103010,2024-12-31,103487,EUR,236.3,DE0007164600
DEU,45103010,2024-12-31,103487,EUR,236.3,DE0007164600
DEU,45103010,2024-12-31,103487,EUR,236.3,DE0007164600
DEU,45103010,2024-12-31,103487,EUR,236.3,DE0007164600
DEU,45103010,2024-12-31,103487,EUR,236.3,DE0007164600
DEU,45103010,2024-12-31,103487,EUR,236.3,DE0007164600
DEU,45103010,2024-12-31,103487,EUR,236.3,DE0007164600
DEU,45103010,2024-12-31,103487,EUR,236.3,DE0007164600
DEU,45103010,2024-12-31,103487,EUR,236.3,DE0007164600
DEU,45103010,2024-12-31,103487,EUR,236.3,DE0007164600
ESP,45201020,2024-12-31,103600,EUR,0.0825,ES0172708234
CYM,45301010,2024-12-31,103936,HKD,74.9,KYG0535Q1331
CYM,45301010,2024-12-31,103936,HKD,74.9,KYG0535Q1331
CYM,45301010,2024-12-31,103936,HKD,74.9,KYG0535Q1331
BMU,45203020,2024-12-31,103975,HKD,1.16,BMG9738G1078
